Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Activity],[Age],[Deviation Level],[Freq],[Level/Status],[Location],[Nature],[Observation Status],[Reporting Type],[Sex],[Units]
6.0,6.4,6.4.1,ER_H2O_WUEYST,Water Use Efficiency (United States dollars per cubic meter),858.0,Uruguay,2003.0,72.5,2003-2007,,,,,Food and Agriculture Organisation of United Nations (FAO),,,INDUSTRIES,,,,,,G,A,G,,USD/m3
6.0,6.4,6.4.1,ER_H2O_WUEYST,Water Use Efficiency (United States dollars per cubic meter),858.0,Uruguay,2003.0,6.87,2003-2007,,,,,Food and Agriculture Organisation of United Nations (FAO),,,TOTAL,,,,,,G,A,G,,USD/m3
6.0,6.4,6.4.1,ER_H2O_WUEYST,Water Use Efficiency (United States dollars per cubic meter),858.0,Uruguay,2003.0,45.8,2003-2007,,,,,Food and Agriculture Organisation of United Nations (FAO),,,ISIC4_GTT,,,,,,G,A,G,,USD/m3
6.0,6.4,6.4.1,ER_H2O_WUEYST,Water Use Efficiency (United States dollars per cubic meter),858.0,Uruguay,2004.0,6.94,2003-2007,,,,,Food and Agriculture Organisation of United Nations (FAO),,,TOTAL,,,,,,G,A,G,,USD/m3
6.0,6.4,6.4.1,ER_H2O_WUEYST,Water Use Efficiency (United States dollars per cubic meter),858.0,Uruguay,2004.0,45.35,2003-2007,,,,,Food and Agriculture Organisation of United Nations (FAO),,,ISIC4_GTT,,,,,,G,A,G,,USD/m3
6.0,6.4,6.4.1,ER_H2O_WUEYST,Water Use Efficiency (United States dollars per cubic meter),858.0,Uruguay,2004.0,0.21,2003-2007,,,,,Food and Agriculture Organisation of United Nations (FAO),,,ISIC4_A01_A0210_A0322,,,,,,G,A,G,,USD/m3
6.0,6.4,6.4.1,ER_H2O_WUEYST,Water Use Efficiency (United States dollars per cubic meter),858.0,Uruguay,2004.0,76.86,2003-2007,,,,,Food and Agriculture Organisation of United Nations (FAO),,,INDUSTRIES,,,,,,G,A,G,,USD/m3
6.0,6.4,6.4.1,ER_H2O_WUEYST,Water Use Efficiency (United States dollars per cubic meter),858.0,Uruguay,2005.0,7.58,2003-2007,,,,,Food and Agriculture Organisation of United Nations (FAO),,,TOTAL,,,,,,G,A,G,,USD/m3
6.0,6.4,6.4.1,ER_H2O_WUEYST,Water Use Efficiency (United States dollars per cubic meter),858.0,Uruguay,2005.0,49.31,2003-2007,,,,,Food and Agriculture Organisation of United Nations (FAO),,,ISIC4_GTT,,,,,,G,A,G,,USD/m3
6.0,6.4,6.4.1,ER_H2O_WUEYST,Water Use Efficiency (United States dollars per cubic meter),858.0,Uruguay,2005.0,87.16,2003-2007,,,,,Food and Agriculture Organisation of United Nations (FAO),,,INDUSTRIES,,,,,,G,A,G,,USD/m3
